Object_Id  Timestamp Type Lat Lng 

3 0  50.6237 3.06918
3 1  50.6239 3.06882
3 2  50.624 3.06851
3 3  50.6241 3.06833
3 4  50.6242 3.06815
3 5  50.6243 3.06787
3 6  50.6244 3.06776
3 7  50.6243 3.06756
3 8  50.6242 3.06723
3 9  50.624 3.0669
3 10  50.6239 3.06661
3 11  50.6238 3.06625
3 12  50.6237 3.0659
3 13  50.6237 3.0657
3 14  50.6235 3.06535
3 15  50.6234 3.06502
3 16  50.6234 3.06479
3 17  50.6232 3.06446
3 18  50.6231 3.06425
3 19  50.6231 3.06405
3 20  50.623 3.06369
3 21  50.6229 3.06333
3 22  50.6228 3.06299
3 23  50.6226 3.06268
3 24  50.6225 3.06234
3 25  50.6224 3.06199
3 26  50.6223 3.06164
3 27  50.6221 3.06131
3 28  50.6221 3.06097
3 29  50.622 3.06062
3 30  50.6218 3.06027
3 31  50.6217 3.05996
3 32  50.6216 3.05963
3 33  50.6215 3.0593
3 34  50.6214 3.05913
3 35  50.6213 3.0588
3 36  50.6213 3.05865
3 37  50.6212 3.05842
3 38  50.6211 3.05813
3 39  50.621 3.05779
3 40  50.6209 3.05745
3 41  50.6207 3.05712
3 42  50.6206 3.05678
3 43  50.6205 3.05645
3 44  50.6204 3.05615
3 45  50.6203 3.05581
3 46  50.6202 3.05546
3 47  50.62 3.05512
3 48  50.62 3.05489
3 49  50.6198 3.05457
3 50  50.6198 3.05426
3 51  50.6197 3.05417
3 52  50.6196 3.05384
3 53  50.6196 3.05362
3 54  50.6195 3.05328
3 55  50.6193 3.05296
3 56  50.6192 3.05264
3 57  50.6191 3.05229
3 58  50.619 3.05195
3 59  50.6189 3.05161
3 60  50.6188 3.05127
3 61  50.6187 3.05095
3 62  50.6186 3.05066
3 63  50.6185 3.05049
3 64  50.6186 3.0504
3 65  50.6184 3.0502
3 66  50.6183 3.05002
3 67  50.6181 3.04987
3 68  50.618 3.04984
3 69  50.6181 3.04988
3 70  50.6183 3.05001
3 71  50.6184 3.0502
3 72  50.6186 3.05034
3 73  50.6185 3.05049
3 74  50.6186 3.0507
3 75  50.6187 3.05103
3 76  50.6188 3.05135
3 77  50.6189 3.05169
3 78  50.619 3.05203
3 79  50.6192 3.05236
3 80  50.6192 3.05264
3 81  50.6193 3.05275
3 82  50.6193 3.05295
3 83  50.6195 3.05327
3 84  50.6196 3.05361
3 85  50.6197 3.05397
3 86  50.6198 3.05427
3 87  50.6198 3.05439
3 88  50.6199 3.05471
3 89  50.62 3.05506
3 90  50.6201 3.0554
3 91  50.6203 3.05574
3 92  50.6204 3.05609
3 93  50.6205 3.05636
3 94  50.6206 3.05671
3 95  50.6207 3.05705
3 96  50.6208 3.05738
3 97  50.621 3.05772
3 98  50.6211 3.05806
3 99  50.6212 3.05827
3 100  50.6212 3.05846
3 101  50.6213 3.05877
3 102  50.6214 3.05902
3 103  50.6215 3.05935
3 104  50.6216 3.05968
3 105  50.6217 3.06001
3 106  50.6219 3.06032
3 107  50.622 3.06066
3 108  50.6221 3.06101
3 109  50.6221 3.06135
3 110  50.6223 3.06169
3 111  50.6224 3.06204
3 112  50.6225 3.06236
3 113  50.6226 3.06269
3 114  50.6228 3.063
3 115  50.6229 3.06334
3 116  50.623 3.0637
3 117  50.6231 3.06407
3 118  50.6232 3.06432
3 119  50.6233 3.06466
3 120  50.6234 3.06501
3 121  50.6235 3.06536
3 122  50.6237 3.06571
3 123  50.6237 3.06605
3 124  50.6238 3.06641
3 125  50.6239 3.06662
3 126  50.624 3.0668
3 127  50.6241 3.06713
3 128  50.6243 3.06746
3 129  50.6243 3.06763
3 130  50.6244 3.0678
3 131  50.6243 3.06787
3 132  50.6242 3.06811
3 133  50.6241 3.06834
3 134  50.6241 3.06845
3 135  50.6239 3.06869
3 136  50.6237 3.06918
5 0  50.6381 3.07239
5 1  50.6379 3.07204
5 2  50.6378 3.07173
5 3  50.6377 3.0714
5 4  50.6376 3.07125
5 5  50.6375 3.07117
5 6  50.6374 3.07094
5 7  50.6373 3.07063
5 8  50.6371 3.07031
5 9  50.637 3.07004
5 10  50.6369 3.06987
5 11  50.6368 3.06954
5 12  50.6367 3.06922
5 13  50.6366 3.06903
5 14  50.6366 3.06884
5 15  50.6363 3.06867
5 16  50.6361 3.06847
5 17  50.6359 3.06828
5 18  50.6358 3.06824
5 19  50.6356 3.06819
5 20  50.6354 3.06814
5 21  50.6351 3.06824
5 22  50.635 3.06833
5 23  50.6349 3.06843
5 24  50.6347 3.06861
5 25  50.6347 3.0685
5 26  50.6346 3.06819
5 27  50.6345 3.06786
5 28  50.6344 3.06778
5 29  50.6343 3.06776
5 30  50.6342 3.06758
5 31  50.6341 3.06725
5 32  50.6339 3.06692
5 33  50.6338 3.0666
5 34  50.6337 3.06649
5 35  50.6336 3.06659
5 36  50.6334 3.06667
5 37  50.6332 3.06661
5 38  50.6329 3.06653
5 39  50.6327 3.06645
5 40  50.6326 3.06641
5 41  50.6324 3.06637
5 42  50.6322 3.06629
5 43  50.6319 3.06622
5 44  50.6317 3.06615
5 45  50.6316 3.06614
5 46  50.6314 3.06611
5 47  50.6313 3.06607
5 48  50.6312 3.06594
5 49  50.631 3.06569
5 50  50.6308 3.06544
5 51  50.6307 3.06524
5 52  50.6305 3.06501
5 53  50.6303 3.06476
5 54  50.6302 3.06459
5 55  50.6301 3.06475
5 56  50.6299 3.06496
5 57  50.6298 3.06486
5 58  50.6296 3.06483
5 59  50.6293 3.0648
5 60  50.6291 3.06477
5 61  50.6289 3.06475
5 62  50.6286 3.06473
5 63  50.6284 3.06471
5 64  50.6281 3.06468
5 65  50.6279 3.06466
5 66  50.6276 3.06463
5 67  50.6274 3.06461
5 68  50.6271 3.06459
5 69  50.627 3.06458
5 70  50.6268 3.06455
5 71  50.6266 3.06452
5 72  50.6264 3.0645
5 73  50.6261 3.06448
5 74  50.6259 3.06445
5 75  50.6257 3.06443
5 76  50.6254 3.0644
5 77  50.6253 3.06439
5 78  50.6251 3.06437
5 79  50.625 3.06436
5 80  50.6249 3.06435
5 81  50.6246 3.06433
5 82  50.6244 3.06431
5 83  50.6243 3.06431
5 84  50.6241 3.06429
5 85  50.6238 3.06426
5 86  50.6236 3.06423
5 87  50.6234 3.06421
5 88  50.6233 3.06421
5 89  50.6231 3.06419
5 90  50.623 3.06417
5 91  50.6229 3.06416
5 92  50.6227 3.06414
5 93  50.6226 3.06413
5 94  50.6223 3.0641
5 95  50.6222 3.06427
5 96  50.6221 3.06465
5 97  50.6221 3.06487
5 98  50.622 3.06486
5 99  50.6218 3.06484
5 100  50.6216 3.06481
5 101  50.6215 3.06501
5 102  50.6215 3.0654
5 103  50.6216 3.06565
5 104  50.6218 3.06577
5 105  50.622 3.06584
7 0  50.622 3.06584
7 1  50.6217 3.06573
7 2  50.6215 3.06557
7 3  50.6215 3.06521
7 4  50.6215 3.06484
7 5  50.6216 3.06481
7 6  50.6217 3.06483
7 7  50.622 3.06486
7 8  50.6221 3.0647
7 9  50.6222 3.06432
7 10  50.6223 3.0641
7 11  50.6225 3.06412
7 12  50.6228 3.06415
7 13  50.623 3.06417
7 14  50.6231 3.06419
7 15  50.6233 3.0642
7 16  50.6234 3.06421
7 17  50.6236 3.06423
7 18  50.6238 3.06426
7 19  50.6241 3.06429
7 20  50.6243 3.06431
7 21  50.6246 3.06433
7 22  50.6248 3.06435
7 23  50.625 3.06436
7 24  50.6251 3.06437
7 25  50.6254 3.0644
7 26  50.6256 3.06442
7 27  50.6259 3.06445
7 28  50.6261 3.06447
7 29  50.6262 3.06448
7 30  50.6264 3.0645
7 31  50.6266 3.06452
7 32  50.6268 3.06455
7 33  50.627 3.06457
7 34  50.6272 3.06459
7 35  50.6274 3.06462
7 36  50.6277 3.06464
7 37  50.6279 3.06466
7 38  50.6282 3.06469
7 39  50.6284 3.06471
7 40  50.6285 3.06472
7 41  50.6287 3.06473
7 42  50.6289 3.06475
7 43  50.6292 3.06478
7 44  50.6294 3.06482
7 45  50.6297 3.06485
7 46  50.6299 3.06491
7 47  50.63 3.0649
7 48  50.6301 3.06466
7 49  50.6302 3.06463
7 50  50.6304 3.06485
7 51  50.6305 3.0651
7 52  50.6307 3.06535
7 53  50.6309 3.06557
7 54  50.631 3.06566
7 55  50.6312 3.0659
7 56  50.6313 3.0661
7 57  50.6316 3.06613
7 58  50.6318 3.06618
7 59  50.632 3.06624
7 60  50.6322 3.06631
7 61  50.6324 3.06637
7 62  50.6326 3.06642
7 63  50.6327 3.06645
7 64  50.6329 3.06652
7 65  50.6332 3.0666
7 66  50.6334 3.06665
7 67  50.6335 3.06664
7 68  50.6336 3.06653
7 69  50.6337 3.06649
7 70  50.6338 3.06661
7 71  50.6339 3.06674
7 72  50.634 3.06698
7 73  50.6341 3.06731
7 74  50.6342 3.06762
7 75  50.6344 3.06778
7 76  50.6345 3.06802
7 77  50.6346 3.06838
7 78  50.6347 3.0686
7 79  50.6347 3.06856
7 80  50.6349 3.0684
7 81  50.6351 3.06824
7 82  50.6354 3.06814
7 83  50.6356 3.06818
7 84  50.6359 3.06825
7 85  50.6359 3.06832
7 86  50.6361 3.06847
7 87  50.6363 3.06866
7 88  50.6366 3.06883
7 89  50.6367 3.06914
7 90  50.6368 3.06948
7 91  50.6369 3.06981
7 92  50.637 3.07004
7 93  50.637 3.07014
7 94  50.6372 3.07041
7 95  50.6373 3.07072
7 96  50.6375 3.07103
7 97  50.6376 3.07126
7 98  50.6376 3.07134
7 99  50.6377 3.07154
7 100  50.6379 3.07187
7 101  50.638 3.07214
7 102  50.6381 3.07239
9 0  50.625 3.06436
9 1  50.6253 3.06439
9 2  50.6255 3.06441
9 3  50.6258 3.06444
9 4  50.626 3.06446
9 5  50.6261 3.06448
9 6  50.6263 3.06449
9 7  50.6265 3.06451
9 8  50.6267 3.06454
9 9  50.627 3.06457
9 10  50.627 3.06465
9 11  50.627 3.06492
9 12  50.627 3.06532
9 13  50.627 3.06562
9 14  50.627 3.06601
9 15  50.627 3.06627
9 16  50.627 3.06667
9 17  50.627 3.06706
9 18  50.627 3.06737
9 19  50.627 3.06753
9 20  50.627 3.06791
9 21  50.627 3.0683
9 22  50.627 3.0684
9 23  50.6272 3.0684
9 24  50.6275 3.06839
9 25  50.6277 3.06839
9 26  50.6279 3.06839
9 27  50.6281 3.06842
9 28  50.6282 3.06851
9 29  50.6282 3.06873
9 30  50.6283 3.06884
9 31  50.6283 3.06892
9 32  50.6285 3.06891
9 33  50.6288 3.0689
9 34  50.629 3.0689
9 35  50.6293 3.06889
9 36  50.6294 3.06892
9 37  50.6294 3.06914
9 38  50.6296 3.06923
9 39  50.6297 3.06924
9 40  50.6297 3.0693
9 41  50.6297 3.06956
9 42  50.6297 3.06985
9 43  50.6298 3.06998
9 44  50.6298 3.07014
9 45  50.6299 3.07051
9 46  50.6299 3.07089
9 47  50.63 3.07127
9 48  50.63 3.07138
9 49  50.6301 3.07171
9 50  50.6302 3.07208
9 51  50.6303 3.07242
9 52  50.6303 3.07275
9 53  50.6304 3.07312
9 54  50.6305 3.0735
9 55  50.6306 3.07388
9 56  50.6306 3.07426
9 57  50.6306 3.07437
9 58  50.6307 3.07461
9 59  50.6307 3.07498
9 60  50.6308 3.07536
9 61  50.6309 3.07571
9 62  50.6309 3.07609
9 63  50.631 3.07646
9 64  50.6311 3.07683
9 65  50.6311 3.07709
9 66  50.6312 3.07723
9 67  50.6312 3.07737
9 68  50.6312 3.07766
9 69  50.6313 3.07803
9 70  50.6314 3.07841
9 71  50.6315 3.07879
9 72  50.6315 3.07917
9 73  50.6316 3.07955
9 74  50.6316 3.07993
9 75  50.6317 3.0803
9 76  50.6318 3.08065
9 77  50.6319 3.08087
9 78  50.632 3.08098
9 79  50.6321 3.08091
9 80  50.6322 3.0807
9 81  50.6324 3.08046
9 82  50.6326 3.08024
9 83  50.6327 3.0802
9 84  50.6329 3.08031
9 85  50.6329 3.08034
9 86  50.6328 3.08029
9 87  50.6327 3.0802
9 88  50.6326 3.08025
9 89  50.6325 3.08033
9 90  50.6323 3.08055
9 91  50.6321 3.0808
9 92  50.632 3.08096
9 93  50.6319 3.08083
9 94  50.6318 3.08069
9 95  50.6317 3.08036
9 96  50.6317 3.07999
9 97  50.6316 3.07961
9 98  50.6316 3.07935
9 99  50.6315 3.07899
9 100  50.6314 3.07861
9 101  50.6314 3.07824
9 102  50.6313 3.07786
9 103  50.6312 3.07749
9 104  50.6311 3.07715
9 105  50.6311 3.0768
9 106  50.631 3.07643
9 107  50.6309 3.07606
9 108  50.6309 3.07569
9 109  50.6308 3.07533
9 110  50.6307 3.07495
9 111  50.6307 3.07457
9 112  50.6306 3.07428
9 113  50.6306 3.07399
9 114  50.6305 3.07361
9 115  50.6304 3.07323
9 116  50.6304 3.07286
9 117  50.6303 3.07254
9 118  50.6303 3.07242
9 119  50.6302 3.07209
9 120  50.6301 3.07171
9 121  50.63 3.07134
9 122  50.63 3.07105
9 123  50.6299 3.07067
9 124  50.6298 3.07029
9 125  50.6298 3.07002
9 126  50.6297 3.06988
9 127  50.6297 3.06983
9 128  50.6295 3.06983
9 129  50.6292 3.06984
9 130  50.629 3.06984
9 131  50.6288 3.06984
9 132  50.6285 3.06985
9 133  50.6283 3.06986
9 134  50.6282 3.06987
9 135  50.6282 3.0696
9 136  50.628 3.0696
9 137  50.6277 3.06961
9 138  50.6275 3.06961
9 139  50.6272 3.06962
9 140  50.627 3.06963
9 141  50.6267 3.06964
9 142  50.6265 3.06965
9 143  50.6263 3.06966
9 144  50.626 3.06967
9 145  50.6258 3.06967
9 146  50.6257 3.06968
9 147  50.6255 3.06968
9 148  50.6254 3.06968
9 149  50.6252 3.06969
9 150  50.6249 3.0697
9 151  50.6247 3.0697
9 152  50.6245 3.06971
9 153  50.6242 3.06971
9 154  50.624 3.06962
9 155  50.6238 3.06935
9 156  50.6237 3.06916
9 157  50.6236 3.06907
9 158  50.6234 3.06886
9 159  50.6232 3.06865
9 160  50.623 3.06845
9 161  50.6229 3.06836
9 162  50.6227 3.06822
9 163  50.6225 3.06798
9 164  50.6223 3.06769
9 165  50.6224 3.06747
9 166  50.6225 3.06726
9 167  50.6222 3.06709
9 168  50.622 3.06691
9 169  50.6218 3.0667
9 170  50.6216 3.06651
9 171  50.6215 3.06645
9 172  50.6213 3.06629
9 173  50.6212 3.06622
9 174  50.6211 3.06608
9 175  50.6209 3.06589
9 176  50.6206 3.06571
