Object_Id  Timestamp Type Lat Lng 

0 0 newpoint 50.6370263 3.0649639
1 0 newpoint 50.6414831 3.0507189
2 0 newpoint 50.6179749 3.0725822
3 0 newpoint 50.6311825 3.0588986
4 0 newpoint 50.6348167 3.0852134
5 0 newpoint 50.6339445 3.0284857
6 0 newpoint 50.6160369 3.0391422
7 0 newpoint 50.6176181 3.0814814
8 0 newpoint 50.645974 3.0672086
9 0 newpoint 50.6270268 3.0673416
10 0 newpoint 50.6311825 3.0588986
11 0 newpoint 50.6430546 3.0648892
12 0 newpoint 50.6403367 3.0420372
13 0 newpoint 50.6181066 3.0815007
14 0 newpoint 50.6249149 3.0342875
15 0 newpoint 50.6220733 3.0656617
16 0 newpoint 50.6464638 3.0626701
17 0 newpoint 50.6445776 3.0305682
18 0 newpoint 50.6419919 3.0379365
19 0 newpoint 50.6340242 3.0821881
20 0 newpoint 50.6172418 3.0542731
21 0 newpoint 50.6414649 3.0576736
22 0 newpoint 50.6375513 3.0536454
23 0 newpoint 50.617528 3.0668369
24 0 newpoint 50.6336167 3.069689
25 0 newpoint 50.6325947 3.0675726
26 0 newpoint 50.6502968 3.0472091
27 0 newpoint 50.6182518 3.0303658
28 0 newpoint 50.6406061 3.0815579
29 0 newpoint 50.6213535 3.0444128
30 0 newpoint 50.6316441 3.0643786
31 0 newpoint 50.6198678 3.0348233
32 0 newpoint 50.6310866 3.0818228
33 0 newpoint 50.6367315 3.0356348
34 0 newpoint 50.6515252 3.0512378
35 0 newpoint 50.6477719 3.0792665
36 0 newpoint 50.623474 3.0291864
37 0 newpoint 50.6469281 3.0618769
38 0 newpoint 50.6209167 3.0821161
39 0 newpoint 50.6291178 3.0854041
40 0 newpoint 50.6418617 3.0714674
41 0 newpoint 50.6370263 3.0649639
42 0 newpoint 50.6459391 3.0717878
43 0 newpoint 50.6313731 3.078394
44 0 newpoint 50.6241786 3.058274
45 0 newpoint 50.6468799 3.0495856
46 0 newpoint 50.6447409 3.0544635
47 0 newpoint 50.6355789 3.0680912
48 0 newpoint 50.6393994 3.0750951
49 0 newpoint 50.6276826 3.0383536
0 1 point 50.6369713 3.0646518
1 1 point 50.6414091 3.0501275
2 1 point 50.6179259 3.0722237
3 1 point 50.6307998 3.057961
4 1 point 50.6346848 3.0848993
5 1 point 50.6335529 3.027786
6 1 point 50.6157823 3.0390566
7 1 point 50.6177293 3.0816407
8 1 point 50.645991 3.0670672
9 1 point 50.6270246 3.0664233
10 1 point 50.6307998 3.057961
11 1 point 50.6429877 3.0650233
12 1 point 50.6404525 3.0425302
13 1 point 50.6178486 3.0814111
14 1 point 50.6249883 3.0342136
15 1 point 50.621819 3.0656221
16 1 point 50.646466 3.0626851
17 1 point 50.6445822 3.0307447
18 1 point 50.6415136 3.0384028
19 1 point 50.6345379 3.0816973
20 1 point 50.6172712 3.0536505
21 1 point 50.6414445 3.0576095
22 1 point 50.637237 3.0540241
23 1 point 50.6176092 3.0668502
24 1 point 50.6336859 3.069665
25 1 disappearpoint 50.6322506 3.0674707
26 1 point 50.6502844 3.0473616
27 1 disappearpoint 50.6185518 3.0299523
28 1 point 50.6402671 3.0817314
29 1 point 50.6213183 3.044323
30 1 point 50.6316072 3.0649459
31 1 point 50.6198571 3.0347678
32 1 point 50.6318108 3.082111
33 1 point 50.6367775 3.0357269
34 1 point 50.6514502 3.0511361
35 1 point 50.6472768 3.0800213
36 1 point 50.623839 3.0290873
37 1 point 50.6469231 3.0618417
38 1 point 50.6206222 3.0818412
39 1 point 50.6290171 3.0853788
40 1 point 50.6419556 3.0715664
41 1 point 50.6369713 3.0646518
42 1 point 50.646136 3.0716886
